content,title,url,description
"The motivations behind capturing videos of children in a home or naturalistic setting, particularly for clinical assessment or diagnosis, include understanding the early signs and symptoms of autism during the first two years of life. Research suggests that impaired interaction between infants who become autistic and their parents may be an essential factor in the development of autism, with motherese (the unique way mothers speak to their babies) being a critical aspect of this interaction.

A developmental hypothesis proposes that motherese impoverishment during parent-infant interactions could be a co-factor in the onset of autism. To test this hypothesis, researchers developed a computerized algorithm capable of detecting motherese in home videos by automatically analyzing sound signals and prosodic characteristics to determine whether motherese is being produced.

The study highlights the importance of early detection and intervention in autism, suggesting that capturing videos of children in their naturalistic setting can provide valuable insights into their development. The researchers also propose possible applications outside the field of autism, such as using the algorithm to improve responsiveness and learning in developmentally disabled children or training professionals working with infants and young children.

Parent-captured videos are utilized by clinicians or healthcare providers to support diagnosis, treatment planning, or clinical decision-making through the analysis of parent-infant interactions, specifically the presence or absence of motherese. Motherese has been shown to be essential for infant cognitive development and social interaction.

The computerized home video detection method described in the study allows clinicians to automatically analyze videos of parent-infant interactions and identify instances of motherese, which can help diagnose autism spectrum disorder (ASD) earlier in life. The algorithm's accuracy in detecting motherese was found to be 82% on speaker-independent sequences and 87.5% on speaker-dependent sequences.

The use of this technology has several potential applications outside the field of autism, including training nurses, teachers, or other professionals working with infants to improve their communication skills and promote healthy parent-infant interactions. This can be particularly beneficial for children with developmental disabilities or those at risk of developing ASD.

Moreover, the study suggests that motherese impoverishment during parent-infant interactions may be a co-factor in the development of autism, highlighting the importance of early detection and intervention strategies. By analyzing parent-captured videos using this computerized algorithm, clinicians can gain valuable insights into the quality of parent-infant interactions and develop targeted interventions to support families at risk.

The effectiveness of this approach is supported by previous research demonstrating that motherese improves responsiveness and learning in developmentally disabled children (Santarcangelo and Dyer, 1988). The study's findings provide evidence for the potential benefits of using computerized home video detection for motherese in clinical settings, underscoring its value as a tool for supporting diagnosis, treatment planning, and clinical decision-making.

However, several challenges, barriers, or limitations were reported regarding the use of parent-captured videos in clinical practice. These include technical concerns such as the need for high-quality video and audio recordings, and the difficulty of annotating large datasets by human reviewers. Ethical considerations also arise from the potential invasion of privacy when analyzing personal family interactions.

The study discusses the impact of parent-captured videos on communication or collaboration between parents and clinicians, specifically in relation to the diagnostic process for autism. The researchers developed a computerized algorithm to detect ""motherese,"" a type of speech that is typically used by mothers when interacting with their infants, which has been shown to be impoverished in children who later develop autism.

The study suggests that motherese impoverishment may be a co-factor in the development of autism, and that analyzing parent-infant interactions through home videos could provide valuable information for clinicians. The algorithm was trained on a single high-quality video of an infant who later developed autism, and achieved an accuracy rate of 82% when detecting motherese in speaker-independent sequences.

The study's findings have implications for the diagnostic process, as they suggest that analyzing parent-infant interactions through home videos could provide valuable information for clinicians. This could potentially lead to earlier diagnosis and intervention for children at risk of developing autism. Additionally, the algorithm may be useful for training professionals working with infants and young children, such as nurses and teachers, to recognize and respond to motherese in a way that promotes healthy communication and development.

The study's focus on the first two years of life is particularly relevant, as it highlights the importance of early detection and intervention in autism. By analyzing parent-captured videos using this computerized algorithm, clinicians can gain valuable insights into the quality of parent-infant interactions and develop targeted interventions to support families at risk.

The study involves co-design and participatory research processes in designing tools or workflows for capturing and using parent videos. This is evident from the mention of analyzing home videos from the Pisa database, which suggests collaboration with other researchers who have collected data on parent-infant interactions.

Furthermore, the study proposes using computerized home video detection for motherese as a tool for nurses, teachers, or other professionals working in the field of infant mental health. This suggests that the researchers are engaging with stakeholders from various fields to design tools that can be useful in their work.

The development of an interactive vicious circle and the use of biofeedback training using a screen warning for motherese production also indicate co-design processes where researchers are collaborating with professionals to develop effective interventions.

Overall, the study's emphasis on co-design, participatory research, and stakeholder engagement processes is evident from its focus on analyzing home videos from different groups and developing tools that can be used by various professionals working in the field of infant mental health.

The study provides several conclusions, best practices, and recommendations for future research or clinical implementation involving parent-captured videos. Firstly, it highlights the potential of computerized home video detection for motherese in studying impaired interaction between infants who become autistic and their parents. The algorithm developed by the researchers achieved high accuracy rates (82% on speaker-independent and 87.5% on speaker-dependent) in extracting motherese from home video sequences.

The study suggests that this technology can be used to test the hypothesis that motherese impoverishment during parent-infant interactions may contribute to the onset of autism. The algorithm's ability to automatically analyze sound signals, prosodic characteristics, and main speakers makes it a valuable tool for identifying instances of motherese in large datasets, which would otherwise be time-consuming and labor-intensive for human review.

In terms of clinical implementation, the study recommends using this technology as a biofeedback tool to train parents or caregivers on producing more effective motherese. This could potentially improve responsiveness and learning in developmentally disabled children, not just those with autism. The researchers also suggest that this technology could be useful outside the field of autism, for example, in training nurses, teachers, or other professionals working in infant mental health.

Furthermore, the study highlights the potential of using parent-captured videos as a valuable resource for research on early signs of autism and developmental disorders. By analyzing these videos, researchers can gain insights into the early interactions between infants and their parents, which may provide clues about the underlying causes of autism and other developmental disorders.

Overall, the study provides a promising approach to studying impaired interaction in autism using computerized home video detection for motherese, with potential applications in both research and clinical settings.",Computerized home video detection for motherese may help to study impaired interaction between infants who become autistic and their parents,352022be0001180116c8a2da50ce5607,"Autism is a well‐deﬁned clinical syndrome after the second year of life, but in- formation on autism in the ﬁrst two years of life is still lacking. The study of home videos has described children with autism during the ﬁrst year of life as not displaying the rigid pattern typical of later symptoms. Therefore, developmental/ environmental factors are claimed in addition to genetic/biological ones to explain the onset of autism during maturation. Here we describe (1) a developmental hypothesis focusing on the possible implication of motherese impoverishment during the course of parent–infant interactions as a possible co‐factor; (2) the methodological approach we used to develop a computerized algorithm to detect motherese in home videos; (3) the best conﬁguration performance of the detector in extracting motherese from home video sequences (accuracy=82% on speaker‐ independent versus 87.5% on speaker‐dependent) that we should use to test this hypothesis. Copyright © 2011 John Wiley & Sons, Ltd."
"The motivations behind capturing videos of children in home or naturalistic settings for clinical assessment or diagnosis are multifaceted. Primarily, they stem from the desire to provide researchers with valuable data on early developmental periods. By recording their infants' daily activities, such as playing and interacting with caregivers, parents can contribute significantly to research efforts aimed at understanding infant development.

This approach is particularly beneficial in autism research, allowing researchers to access children who may not otherwise be studied due to various factors. The use of retrospective video analysis enables researchers to examine early periods of development, which are critical in identifying potential signs or indicators of developmental disorders like Autism Spectrum Disorder (ASD).

Parent-captured videos have become a valuable tool for clinicians and researchers alike, providing insights into infant behavior and development. These videos allow researchers to assess motor engagement, posture, affect, interest, attention, and variety of play, among other aspects of infant development.

The Infant Motor Engagement Scale (IMES) is a reliable tool used in this study to evaluate and code the videos. The scale's content validity was established through prior research and pilot testing, demonstrating its relevance and comprehensibility in assessing infant motor development.

Retrospective video analysis has been employed as a viable option for assessing early periods of development in autism research. This method allows researchers to access children who may not otherwise be studied, providing valuable insights into the early signs and symptoms of ASD.

The use of parent-captured videos also enables clinicians to make more informed decisions about diagnosis and treatment planning. By analyzing these videos, healthcare providers can identify potential red flags for ASD, such as delayed motor development or unusual behaviors, which can inform their diagnostic assessments.

However, the study highlights several challenges associated with using parent-captured videos in clinical practice. Technical concerns, including variability in video quality, content, and duration, can impact data analysis and interpretation. Additionally, there are ethical considerations, including the reliance on parental reporting for diagnosis and history, which may not be accurate or comprehensive.

The small sample size of this pilot study limits its generalizability to a broader population. The reliance on family-provided videos introduces variability in age and outcome reporting. Moreover, the lack of confirmation by testing or further investigation of reported outcomes may lead to inaccuracies in diagnosis and analysis.

Despite these limitations, the study demonstrates the potential of parent-captured videos as a valuable tool for assessing early developmental periods and identifying potential signs of ASD. The use of retrospective video analysis allows researchers to access children who may not otherwise be studied, providing a unique opportunity for examining early developmental periods.

The study's findings suggest that parent-captured videos can be a viable option for assessing infant development, particularly in cases where children may not have access to traditional assessment methods. However, clinicians should be aware of the potential limitations of these videos and take steps to ensure they are used in conjunction with other assessment tools.

In terms of clinical implementation, the study's results highlight the importance of verifying diagnoses through testing in future studies. The use of imputed values for missing data may have led to an underestimation of group differences, suggesting that researchers should strive to collect complete data sets or explore alternative methods for handling missing data.

The study also emphasizes the need for more rigorous procedures to ensure inter-rater reliability when using retrospective video analysis. Future researchers should consider implementing more robust training protocols for coders and using multiple raters to increase accuracy.

Overall, this pilot study demonstrates the potential of parent-captured videos as a valuable tool for assessing early developmental periods and identifying potential signs of ASD. Further research is needed to confirm these findings and explore the use of this method in larger studies or clinical settings.",Early indicators of autism in infants- Development of the IMES screening tool.,52ac4a5c2a3853090334c4b8db9a6694,"Keywords autism, engagement, evaluation, pediatrics, play"
"The motivations behind capturing videos of children in a home setting, particularly for clinical assessment and diagnosis, include enhancing the validity of parent report and providing an objective method for collecting information on early development. Researchers acknowledge that parent report can be influenced by biases such as recording biases, where parents tend to film positive behaviors, which may not accurately reflect the child's developmental trajectory. To address this issue, the study suggests utilizing video ""standards"" that provide parents with examples of typical and atypical behaviors to improve the validity of parent report.

Parent-captured videos are utilized by clinicians or healthcare providers to support diagnosis, treatment planning, or clinical decision-making through the analysis of early social-communication behaviors in children. This approach is considered more objective than parent report for collecting information about early development and can help identify potential biases in recording, such as a tendency to film positive behaviors. By examining the correspondence between parent report and video analysis, researchers have found poor agreement between methods, with less than half of classifications derived from the ADI-R supported by trajectories identified through latent class analysis of home video.

To improve the validity of onset categorizations, clinicians or healthcare providers may ask parents to review baby books and home video prior to interviews, structure questions about early social development on interviews and questionnaires to provide explicit examples of typical and atypical behaviors, or use video ""standards"" that provide parents with examples of these behaviors. The analysis of serial video can document the presence of key social-communicative behaviors, such as eye contact and social smiling, early in life and then demonstrate a decline in frequency over time, indicating a regression.

The effectiveness of parent-captured videos in supporting diagnosis, treatment planning, or clinical decision-making is supported by evidence that suggests they can provide more objective information about early development than parent report. The use of video analysis has been shown to be a labor-intensive but critical procedure for collecting information about early development, and its correspondence with parent report can help improve the validity of onset categorizations.

The challenges and limitations of using parent-captured videos in clinical practice are multifaceted. One major concern is the potential for recording biases, where parents tend to film positive behaviors rather than negative ones, which can lead to an inaccurate representation of the child's development. This bias can be particularly problematic when examining social-communication behaviors, as parents may focus on capturing happy moments rather than documenting declines in skills.

Another limitation is the poor agreement between parent report and video analysis, even when using the same coding system. In one study, concordance between video and parent report was much higher for language loss (85%) than non-language loss (49%), suggesting that parents may be more accurate at reporting changes in verbal abilities but less so in social and communication skills.

Furthermore, there is a risk of inconsistent findings when relying solely on parent report. In cases where parents reported no loss in non-language areas, video analysis often revealed significant declines in behaviors like social gaze and social initiations. This discrepancy highlights the importance of using multiple methods to validate parent report, such as reviewing baby books and home videos prior to interviews.

Additionally, the use of video ""standards"" that provide parents with examples of typical and atypical behaviors may improve the validity of parent report, but this approach requires further exploration. The labor-intensive nature of video analysis also poses a challenge, making it essential to understand the correspondence between video and parent report methods.

Lastly, procedural differences may account for discrepancies in findings across studies, emphasizing the need for standardization and consistency in data collection and coding procedures when using parent-captured videos in clinical practice.

The impact of parent-captured videos on communication or collaboration between parents and clinicians, particularly in the diagnostic or care process for children with autism spectrum disorders (ASD), is examined through the study's analysis of home movies. The research reveals poor correspondence between onset classifications made by parent report and trajectory analysis of home videos, indicating that relying solely on parental reports may not accurately reflect a child's developmental trajectory.

Parent-captured videos provide an objective and more labor-intensive method for collecting information about early development, which is critical in the diagnostic process. However, the study highlights potential recording biases, such as parents tending to film positive behaviors, which can influence the accuracy of video analysis. Despite these limitations, the study demonstrates that parent-captured videos can be a valuable tool in collaboration between parents and clinicians.

The findings suggest that there may be discrepancies between parental reports and video evidence of developmental changes in children with ASD. For instance, while some parents reported no loss in non-language areas, video analysis revealed significant declines in social behaviors such as social gaze and initiations. This discrepancy is consistent with previous studies demonstrating that many children with parent-reported early onset autism showed significant declines in social behaviors on video.

The study's results have implications for the diagnostic process, highlighting the importance of considering multiple sources of information when assessing a child's developmental trajectory. Parent-captured videos can provide an objective and more accurate representation of a child's development, which can inform clinical decisions and improve collaboration between parents and clinicians. By integrating video analysis into the diagnostic process, clinicians may be able to better identify early signs of ASD and develop more effective treatment plans.

Furthermore, the study's findings suggest that there is a need for increased awareness among parents about the importance of documenting their child's development through video recordings. This can help ensure that accurate information is available for clinical assessments and improve communication between parents and clinicians. By leveraging parent-captured videos as a valuable resource in the diagnostic process, clinicians may be able to provide more effective support and care for children with ASD and their families.

The design recommendations and user-centered features mentioned in the study to facilitate easier or more effective video capture and sharing by parents include providing parents with examples of typical and atypical behaviors through video ""standards"" to improve the validity of parent report. This approach aims to help parents better identify and describe their child's social-communication behaviors, which can be a challenging task for them. Additionally, structuring questions on interviews and questionnaires to provide explicit examples of the kinds of behaviors that may be intact early in the lives of children with autism can also facilitate more accurate reporting by parents.

Parents were asked to review baby books and home video prior to interviews, structure questions about early social development to provide explicit examples of behaviors, and explore the use of video ""standards"" that provide parents with examples of typical and atypical behaviors. These approaches suggest a collaborative effort between researchers and parents to design tools and workflows that effectively utilize parent videos in capturing and analyzing developmental data.

The study provides several conclusions, best practices, and recommendations for future research or clinical implementation involving parent-captured videos. Firstly, the study highlights the importance of understanding the correspondence between parent report and video analysis methods for collecting information about early development in children with autism spectrum disorders (ASD). The findings suggest that there is poor agreement between these two methods, which may be due to recording biases such as parents tending to film positive behaviors.

To improve the validity of onset categorizations, researchers might consider asking parents to review baby books and home video prior to interviews. Additionally, questions about early social development on interviews and questionnaires could be structured so that they provide more explicit examples of the kinds of behaviors that may be intact early in the lives of children with autism.

The study also suggests that using video ""standards"" that provide parents with examples of typical and atypical behaviors can improve the validity of parent report. Furthermore, the findings indicate that there is a need to examine individual concordance between parent report and home video, rather than just group level correspondence, as this may provide more accurate information about early development in children with ASD.

In terms of practical recommendations for clinical implementation, the study suggests that clinicians could use parent-captured videos to supplement parent report and improve diagnosis and treatment planning. However, it is essential to consider the potential biases in video recording and ensure that the coding procedures are reliable and valid.

The population group involved in this study consists of children who have been diagnosed with autism and their parents. The sample size is not explicitly stated, but it appears to be a relatively small number of participants given the specific findings and comparisons made throughout the text.

The age range of the children at the time of parent interview was approximately 3.25 years on average, which suggests that the study focused on young children with autism spectrum disorder (ASD). The clinical conditions studied were primarily ASD, although it is implied that other developmental disorders may have been considered as well.

The study design employed a retrospective methodology, where parents were interviewed about their child's development one to two years after the events in question. This approach was used in conjunction with coded home video footage of the children's behavior, which provided an empirical trajectory classification system for analyzing onset phenomena.

The setting for this study was primarily the home environment, as evidenced by the use of naturalistic observations collected longitudinally through home video recordings prior to diagnosis. The study also drew on laboratory-based investigations and prospective methods of studying onset, highlighting the importance of considering multiple data sources in understanding developmental disorders like ASD.

In terms of methodological details, the study found poor agreement between parent report and empirical trajectory classifications derived from coded home video footage. This discrepancy suggests that retrospective data may be flawed and should be abandoned in favor of prospective methods of studying onset. However, the study also highlights the value of combining multiple methodologies to gain a more comprehensive understanding of developmental disorders.

The results have significant implications for future research on ASD, including the need to improve parent report methods and consider alternative approaches to classifying onset phenomena. The study's findings also suggest that onset definitions may need to be revised or expanded to better capture the complexities of early symptoms in children with autism.",Onset patterns in autism Correspondence between home video and parent report,b04ef1fed1805527b65a3f043d71c683,"Objective—The onset of autism is usually conceptualized as occurring in one of two patterns, an early onset and a regressive pattern. This study examined the number and shape of trajectories of symptom onset evident in coded home movies of children with autism and examined their correspondence with parent report of onset."
"The motivations behind parents capturing videos of their children in a home or naturalistic setting, particularly in relation to clinical assessment or diagnosis, are multifaceted. Firstly, these videos enable parents to assess and compare their child's performance across different environments, as evident from the additional play footage recorded at the homes of children with autism at 3-month follow-up. This highlights the importance of understanding how children with autism interact and communicate in their natural environment, rather than a clinical setting.

Moreover, parent-captured videos provide parents with valuable insights into their child's social communication skills and strategies. By viewing videos of their child's play-based interactions, parents can gain a more comprehensive understanding of their child's strengths and weaknesses, which can inform treatment decisions and interventions. This is particularly relevant for children with autism, who may require additional support or intervention to develop their pragmatic language skills.

The study also suggests that parent-captured videos facilitate parent-child interaction and engagement in therapy sessions. The fact that parents were instructed to arrange weekly playdates for dyads between clinic sessions indicates a recognition of the importance of involving parents in the therapeutic process and encouraging them to engage with their child in a playful and interactive way.

Parent-captured videos are utilized by clinicians or healthcare providers as an additional tool to support diagnosis, treatment planning, and clinical decision-making. These videos allow therapists to assess children's social interaction skills and communication abilities in real-life settings, providing a more comprehensive understanding of their needs. The effectiveness of parent-captured videos is supported by the study's findings, which show that they can be used as a reliable tool for rating children's performance.

The Rasch analysis determined that the assessor's scores were reliable for the 310 videos sampled, indicating that parent-captured videos can provide accurate and consistent information about children's social interaction skills. Clinicians or healthcare providers can use these videos to identify areas of strength and weakness in a child's communication abilities, inform treatment planning, and monitor progress over time.

The video-feedback sequences created by therapists using the digital video files recorded during intervention sessions can also be used to provide parents with feedback on their child's performance and suggest strategies for improvement. Furthermore, parent-captured videos can be used to compare children's performance across different environments, such as home and clinic settings, providing a more comprehensive understanding of their needs.

The study highlights the importance of involving parents in the assessment and treatment of autism, particularly through the use of video-modeling and play-based interactions. The combination of these approaches has been shown to be effective in improving pragmatic language performance in children with autism. Parent-captured videos are an integral part of this approach, enabling parents to provide feedback and guidance to their child in a more effective manner.

The study also emphasizes the need for parent training and coaching to ensure that parents are equipped with the necessary skills and knowledge to implement the intervention effectively. The use of a parent manual and videos to guide discussions with children about social communication skills and strategies observed was effective in promoting compliance among parents.

In terms of clinical implementation, the study suggests that parent-captured videos can be used as a valuable tool for assessing social communication skills in children with autism and for providing feedback to parents on their child's progress. The use of video-modeling as an intervention strategy can also be implemented in clinical settings to promote social interaction and communication skills in children with autism.

The study provides several conclusions, best practices, and recommendations for future research or clinical implementation involving parent-captured videos. Firstly, the use of parent-captured videos as a tool for assessing social communication skills in children with autism is reliable and valid, as demonstrated by the Rasch analysis which showed that the assessor's scores were consistent across 310 sampled videos.

Secondly, the study highlights the importance of using video-modeling as an intervention strategy to promote social interaction and communication skills in children with autism. The use of short videos (6-8 minutes) aligned with the modules contained within the manual was effective in teaching parents how to provide feedback before, during, and after playdates.

Thirdly, the study emphasizes the need for parent training and coaching to ensure that parents are equipped with the necessary skills and knowledge to implement the intervention effectively. The use of a parent manual and videos to guide discussions with children about social communication skills and strategies observed was effective in promoting compliance among parents.

Finally, the study recommends that future research should focus on evaluating the long-term effects of parent-captured videos as an intervention tool for children with autism. Additionally, further research is needed to explore the use of video-modeling as a standalone intervention strategy or as part of a comprehensive treatment package for children with autism.

In terms of usability concerns, parents were instructed to view one video per week at home with their child, but there is no discussion about potential difficulties or barriers that parents may face when using these videos. Additionally, while it is mentioned that parents were highly compliant with reading the prescribed chapters and viewing the videos with their child, compliance was not formally assessed.

Regarding ethical concerns, the context does not explicitly mention any issues related to informed consent, confidentiality, or data protection. However, it is noted that de-identified videos were sent to an independent assessor for rating, which suggests some level of consideration for maintaining participant anonymity and protecting sensitive information.

The study also highlights the importance of collaboration between parents and clinicians in the diagnostic or care process. The use of video-modeling in this intervention allows for a more collaborative approach to treatment, where parents are actively engaged in guiding discussions with their child about play and social communication skills observed in the videos.

In terms of digital tools, the study mentions the use of video editing software (Adobe Premier Pro CC) to create video-feedback sequences. This implies that the researchers utilized existing digital tools to facilitate the creation and sharing of videos with parents as part of the intervention.

The study involves co-design processes through the use of parent videos that are designed in collaboration with parents and children with autism. The videos portray play-based interactions of two fictional characters in contexts relevant for children with autism, thereby enhancing their effectiveness in capturing and using parent videos as a means of promoting social interaction skills.

Overall, the study provides valuable insights into the use of parent-captured videos as a tool for assessing and promoting social communication skills in children with autism. The findings highlight the importance of involving parents in the assessment and treatment of autism, particularly through the use of video-modeling and play-based interactions.","A Randomized Controlled Trial of a Play-Based, Peer-Mediated Pragmatic Language Intervention for Children With Autism",df720ef2910ace0213fe8e1474f0836b,
"The motivations behind parents capturing videos of their children in a home or naturalistic setting, particularly in relation to clinical assessment or diagnosis, are primarily driven by the need to reduce the time between parent concerns and diagnosis. Parents want to share clinically relevant videos with diagnostic professionals as soon as possible, which can be challenging due to limited access to diagnostic services and difficulties capturing specific behaviors indicative of Autism Spectrum Disorder (ASD). The study aims to address this need by developing a novel telehealth approach that guides families in collecting clinically relevant videos using mobile devices. This approach is designed to provide an opportunity for parents to demonstrate their child's typical social-communicative behavior, rather than focusing solely on behaviors that may indicate ASD.

Parent-captured videos are utilized by clinicians or healthcare providers to support diagnosis, treatment planning, or clinical decision-making through store-and-forward telehealth approaches. These video recordings enable families to capture natural expressions of child behavior in the home environment, which is crucial for an accurate and comprehensive assessment. The videos can be shared with diagnostic professionals for review and assessment, facilitating the sharing of both current behavior and historical information.

The effectiveness of parent-captured videos has been demonstrated through various studies, including this project, which examined a method to guide families in collecting clinically relevant videos using telehealth technology. The results showed that this approach may improve the diagnostic process for Autism Spectrum Disorder (ASD) by reducing the time between parent concerns and diagnosis.

Parent-captured videos have several advantages, particularly relevant to remote diagnosis of ASD. They enable families to record videos in their home, during day-to-day activities, ensuring natural expressions of child behavior are captured. Additionally, because home recordings can be carried out over several days, they may mitigate some consequences of a single clinic-based or live telehealth assessment.

The instructions provided to parents for collecting videos were designed to create opportunities for demonstrating typical social communicative behavior and avoid predisposing them toward collecting examples of behaviors that indicate ASD. The semi-structured video collection was uniform in duration (10 continuous minutes) across four specific scenarios, with clear instructions for parents to shape the interaction and ensure relevant people and objects are clearly in view.

Parent-captured videos have been shown to be a valuable tool for clinicians or healthcare providers to support diagnosis, treatment planning, or clinical decision-making. However, there are limitations and challenges reported regarding their use in clinical practice, including technical, ethical, privacy-related, or usability concerns. One major concern is the potential for bias in video collection, which can be influenced by factors such as parental knowledge about their child's behavior and development.

Another limitation is the semi-structured nature of video collection, where parents are instructed to shape interactions with their child across four specific scenarios. This design makes it unlikely that parents can selectively capture behavior that supports or does not support a diagnosis of ASD. Furthermore, NODA's inability to pause and restart videos may reduce the possibility of families submitting biased footage, but this also limits parental control over video collection.

There is also a concern about sampling bias, which may have inflated the rate of ASD cases among participating families. The study's sample consisted mainly of families seeking an evaluation for ASD, which could skew the results and make it difficult to generalize findings to other populations. Some participants may have been previously identified with developmental delays but never evaluated for ASD, and their parents may have participated in the study for the free ASD evaluation.

Lastly, there is a need for further research to examine whether NODA's accuracy differs as a function of the order of IPA (Initial Parent Assessment) and NODA. This would help clarify the potential impact of parental knowledge on video collection and provide more insight into the diagnostic process.

The study discusses the impact of parent-captured videos on communication or collaboration between parents and clinicians in the context of diagnosing Autism Spectrum Disorder (ASD). Specifically, it examines how a novel telehealth approach, called the Naturalistic Observation Diagnostic Assessment (NODA), influences the diagnostic process. NODA involves parents collecting clinically relevant videos of their child's behavior in the home using a semi-structured protocol and sharing them with diagnostic professionals via telehealth technology.

The study found that this approach may improve the diagnostic process for ASD by allowing clinicians to identify sufficient behavioral examples in the videos to satisfy diagnostic criteria. The use of parent-collected videos also enables parents to share relevant developmental history information, which can be valuable in making a diagnosis. However, the study notes some limitations, including the potential for sampling bias and the order effect, where the results of an initial assessment (IPA) may influence the type of behavior parents capture on video.

To mitigate these effects, the study implemented several design features, such as not discussing the IPA results with parents until after they completed collecting NODA videos, and providing instructions that encouraged parents to collect examples of typical social communicative behavior rather than behaviors indicative of ASD. The study also found that using a mounting device (tripod) to set up and frame the recording ahead of time, and ensuring relevant people and objects were clearly in view, improved the clinical utility of the videos.

Overall, the study suggests that parent-captured videos can be a valuable tool for improving communication and collaboration between parents and clinicians in the diagnostic process for ASD. By leveraging telehealth technology to collect clinically relevant video footage, NODA may present one avenue for reducing the time between parent concerns and diagnosis, which could have significant implications for early intervention and treatment outcomes.

The design recommendations, user-centered features, and digital tools mentioned in the study that aim to facilitate easier or more effective video capture and sharing by parents include the use of a mounting device (i.e., tripod) to set up and frame the recording ahead of time. Additionally, the NODA application provides instructions for each scenario and guidelines for framing the recording, which aims to minimize bias and ensure clinically relevant footage.

The study involved a participatory research process in designing tools or workflows for capturing and using parent videos. Parents were given clear instructions on how to record their child's behavior, including specific scenarios and guidelines for framing the recording, which aimed to minimize bias and ensure clinically relevant footage. The study also incorporated stakeholder engagement by considering the potential impact of the diagnostic process on families seeking an evaluation, as well as the limitations that may arise from sampling bias.

Furthermore, the study demonstrated a co-design approach in developing the NODA tool, which was informed by previous research (Nazneen et al., 2015) and designed to improve the clinical utility of parent-collected videos. The study provides several conclusions, best practices, and recommendations for future research or clinical implementation involving parent-captured videos.

Firstly, it highlights the importance of providing clear instructions to parents on how to collect clinically relevant videos in the home using telehealth technology. The study demonstrates that such an approach can improve the diagnostic process for Autism Spectrum Disorder (ASD) by reducing the time between parent concerns and diagnosis.

One key finding is that semi-structured video collection, where parents are given specific scenarios and instructions to shape the interaction, can minimize bias in video footage. This approach ensures that parents do not selectively capture behavior that supports or does not support a diagnosis of ASD. Additionally, the study suggests that allowing families to pause and restart videos may introduce bias, which is why NODA's design does not permit this.

The study also emphasizes the need for careful consideration of the order in which procedures are conducted. In this case, the Initial Parent Assessment (IPA) was completed before the NODA video collection, which may have influenced the type of behavior parents captured on video. To minimize this effect, results from the IPA were not discussed with parents until after the NODA videos were collected.

In terms of best practices for future research or clinical implementation, the study suggests that providing clear instructions to parents and using semi-structured video collection can improve the accuracy of parent-captured videos. It is also recommended that families be given information about the diagnostic relevance of their child's specific behaviors only after the NODA videos are obtained.

Furthermore, the study highlights several limitations that should be considered when interpreting the findings. These include sampling bias, which may have inflated the rate of ASD cases among families seeking an evaluation. Future research may examine whether NODA's accuracy differs as a function of the order of IPA and NODA.

Overall, the study provides valuable insights into the use of parent-captured videos in diagnostic assessments for ASD, highlighting the importance of clear instructions, semi-structured video collection, and careful consideration of procedure order. These findings have implications for future research and clinical implementation, and can help to improve the accuracy and efficiency of diagnostic assessments for ASD.

The study involved a population group of 51 children from the southwestern United States, including 11 typically developing children and 40 children with suspected Autism Spectrum Disorder (ASD). The sample size was relatively small, but it included a range of ages between 18 months and 6 years and 11 months. The clinical conditions studied were ASD and typical development, with the primary focus being on diagnosing ASD.

The study design was observational, where participants underwent evaluations using the NODA (Next Steps Diagnostic Assessment) tool, which is designed to generate a detailed report on behavioral examples supporting each DSM-5 criterion for ASD diagnosis. The setting of the study was primarily in-home or clinic-based, with English-speaking raters conducting evaluations.

The key methodological details reported in the study include:

*   A population group of 51 children from the southwestern United States
*   Sample size: 11 typically developing children and 40 children with suspected ASD
*   Age range: 18 months to 6 years and 11 months
*   Clinical conditions studied: ASD and typical development
*   Study design: Observational, using the NODA tool for evaluations
*   Setting: In-home or clinic-based, with English-speaking raters conducting evaluations",Investigating the Accuracy of a Novel Telehealth Diagnostic Approach for Autism Spectrum Disorder,3e6ccff5a52273a32bdb985d482d3d0d,"Research indicates a substantial amount of time between parents’ first concerns about their child’s development and a diagnosis of Autism Spectrum Disorder (ASD). Telehealth presents an opportunity to expedite the diagnostic process. This project compared a novel telehealth diagnostic approach that utilizes clinically-guided in-home video recordings to the gold standard in-person diagnostic assessment. Participants included 40 families seeking an ASD evaluation for their child and 11 families of typically developing children. Children were between the ages of 18 months and 6 years, 11 months; mean adaptive behavior composite = 75.47 (SD = 15.94). All parent participants spoke English fluently. Families completed the Naturalistic Observation Diagnostic Assessment (NODA) for ASD, which was compared to an in-person assessment (IPA). Agreement between the two methods, as well as sensitivity, specificity, and interrater reliability were calculated for the full sample and the subsample of families seeking an ASD evaluation. Diagnostic agreement between NODA and the IPA in the full sample was 88.2% (kappa = 0.75), and 85% (kappa = 0.58) in the subsample. Sensitivity was 84.9% in both, while specificity was 94.4% in the full sample and 85.7% in the subsample. Kappa coefficients for interrater reliability indicated 85 to 90% accuracy between raters. NODA utilizes telehealth technology for families to share information with professionals, and provides a method to inform clinical judgment for a diagnosis of ASD. Due to the high level of agreement with the IPA in this sample, NODA has potential to improve the efficiency of the diagnostic process for ASD."
